orgnr;navn;status;on_elma;smp_url;doctype_count;last_ok;brreg_orgform;brreg_ansatte;brreg_konkurs;brreg_kind
830854142;A DAY'S MARCH SHIRTS & STAPLES NORWAY AS;ikke_registrert;;;0;2026-08-10T05:47:23+00:00;AS;9;0;enhet
832950602;2CE NAIL BEAUTY AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;8;0;enhet
878703812;3 STEP IT AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;41;0;enhet
879946492;A C SMITH & CO AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;23;0;enhet
897392232;4SERVICE GRUPPEN AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;7;0;enhet
910082620;A-MØBLER AS;ikke_registrert;;;0;2026-08-10T05:47:23+00:00;AS;28;0;enhet
913864581;A-TEAM TRAFIKKSKOLE AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;11;0;enhet
918124934;1881 GROUP AS;ikke_registrert;;;0;2026-08-10T05:47:23+00:00;AS;5;0;enhet
918272518;A-Z BYGGESERVICE IDCZAK AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;10;0;enhet
918616381;123 FLYTTING & TRANSPORT AS;ikke_registrert;;;0;2026-08-10T05:47:23+00:00;AS;11;0;enhet
921934092;4B ARKITEKTER AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;10;0;enhet
922361754;8 FISH SUSHI AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;12;0;enhet
925273236;1 HJELPENDE HÅND AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;24;0;enhet
928470679;90 GRADER AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;21;0;enhet
929032470;1 OSLO RENHOLDSSERVICE AS;ikke_registrert;;;0;2026-08-10T05:47:23+00:00;AS;19;0;enhet
929431650;0186 BARDRIFT AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;22;0;enhet
929624483;8586 SUSHI & WOK AS;ikke_registrert;;;0;2026-08-10T05:47:23+00:00;AS;8;0;enhet
930327581;A. A DAGLIGVARE AS;kan_motta;0;https://sml.ion-smp.net/;0;2026-08-10T05:47:23+00:00;AS;13;0;enhet
930459615;1850 NUMMEROPPLYSNINGEN AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;16;0;enhet
931474375;852YUMCHA AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;27;0;enhet
932467771;A-LI DRONNINGEN AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;8;0;enhet
934910788;7 DAYS MINI MARKED AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;5;0;enhet
934936124;2IZII AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;7;0;enhet
935435331;1INCH INNREDNING AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;31;0;enhet
936488358;9COELEKTRO AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;5;0;enhet
952257145;A T KEARNEY AS;ikke_registrert;;;0;2026-08-10T05:47:23+00:00;AS;19;0;enhet
961029775;A-BAD AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;5;0;enhet
980026035;A LA CARTE PRODUKTER AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;19;0;enhet
987428317;180.NO NUMMEROPPLYSNINGEN AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;10;0;enhet
989298291;4HUMAN QM365 AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;14;0;enhet
989575716;A BYGG ENTREPRENØR AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;27;0;enhet
989890832;99X SOLUTIONS AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;15;0;enhet
990145687;A  TIL  Å  SERVICE  AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;5;0;enhet
994151010;0 - 6 ULLENSAKERGATA BARNEHAGE AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;23;0;enhet
995453975;24FITNESS AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;9;0;enhet
998246202;A-B BYGG OG MALERTJENESTE AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;5;0;enhet
998781558;10/10 TEKSTILTRYKKERI AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;24;0;enhet
999286976;0 - 6 VÅLERENGGATA BARNEHAGE AS;kan_motta;1;https://smp.elma-smp.no/;0;2026-08-10T05:47:23+00:00;AS;21;0;enhet
